postcode,latitude,longitude
3184-vic,-37.880922,144.985534
3185-vic,-37.886128,145.006116
3186-vic,-37.908189,144.995817
3187-vic,-37.917174,145.016386
3188-vic,-37.937661,145.014248
3189-vic,-37.941458,145.057783
3190-vic,-37.950386,145.03979
3191-vic,-37.953304,145.013879
3192-vic,-37.963413,145.061523
3193-vic,-37.977398,145.032372
3194-vic,-37.979933,145.081501
3195-vic,-38.00834,145.102803
3196-vic,-38.048201,145.125618
3197-vic,-38.071307,145.139194
3198-vic,-38.104821,145.138447
3199-vic,-38.160187,145.13881
3200-vic,-38.123924,145.163859
3201-vic,-38.092778,145.175794
3202-vic,-37.956066,145.093194
3203-vic,-37.791529,145.0480042
3204-vic,-37.915591,145.038934
3205-vic,-37.833409,144.956973
3206-vic,-37.846018,144.963015
3207-vic,-37.83317,144.922248
3208-vic,-37.7931334,145.0607778
3209-vic,-37.7933972,145.0632787
3210-vic,-12.4643506,130.842693
3211-vic,-37.926228,144.491566
3212-vic,-38.021617,144.449248
3213-vic,-37.9497973,144.25938384
3214-vic,-38.073687,144.371593
3215-vic,-38.108153,144.335321
3216-vic,-38.234152,144.294612
3217-vic,-38.196409,144.308651
3218-vic,-38.137428,144.336197
3219-vic,-38.172601,144.382028
3220-vic,-38.152941,144.345551
3221-vic,-38.246109,144.089547
3222-vic,-37.91799965,145.15954220008777
3223-vic,-38.153339,144.665828
3224-vic,-38.192815,144.468894
3225-vic,-38.26960988888889,144.63623649444443
3226-vic,-38.260975,144.528266
3227-vic,-38.256454,144.419564
3228-vic,-38.332444,144.270709
3229-vic,-12.4643506,130.842693
3230-vic,-38.410153,144.182163
3231-vic,-38.441401,144.017492
3232-vic,-38.537462,143.97552
3233-vic,-38.726974,143.648383
3234-vic,-38.6706482,143.8113521
3235-vic,-38.415994,143.894121
3236-vic,-38.509558,143.699198
3237-vic,-38.626919,143.439087
3238-vic,-38.761042,143.504478
3239-vic,-38.519358,143.58424
3240-vic,-38.257183,144.129443
3241-vic,-38.270944,143.956687
3242-vic,-38.229016,143.819534
3243-vic,-38.425757,143.757688
3244-vic,-12.4643506,130.842693
3245-vic,-12.4643506,130.842693
3246-vic,-12.4643506,130.842693
3247-vic,-12.4643506,130.842693
3248-vic,-12.4643506,130.842693
3249-vic,-38.340977,143.500103
3250-vic,-38.358835,143.578547
3251-vic,-38.118861,143.690182
3252-vic,-38.1449969,144.3551065
3253-vic,-12.4643506,130.842693
3254-vic,-38.290053,143.547124
3255-vic,-12.4643506,130.842693
3256-vic,-12.4643506,130.842693
3257-vic,-12.4643506,130.842693
3258-vic,-12.4643506,130.842693
3259-vic,-12.4643506,130.842693
3260-vic,-38.181426,143.25545
3261-vic,-12.4643506,130.842693
3262-vic,-12.4643506,130.842693
3263-vic,-12.4643506,130.842693
3264-vic,-38.229478,142.889552
3265-vic,-38.234803,142.806017
3266-vic,-38.402253,143.124099
3267-vic,-38.466787,143.080181
3268-vic,-38.518612,142.949314
3269-vic,-38.631076,143.108261
3270-vic,-38.601887,142.874557
3271-vic,-37.904862,143.021877
3272-vic,-37.955973,142.879671
3273-vic,-38.0894909,144.2802151
3274-vic,-37.915391,142.537149
3275-vic,-38.296574,142.448602
3276-vic,-38.122458,142.464426
3277-vic,-38.415934,142.686217
3278-vic,-38.6045826,145.58959619349255
3279-vic,-38.0892847,144.279896
3280-vic,-38.366756,142.488194
3281-vic,-38.256291,142.517434
3282-vic,-38.299373,142.380698
3283-vic,-38.226607,142.2578
3284-vic,-38.333996,142.178322
3285-vic,-38.234047,141.924018
3286-vic,-38.025555,142.051968
3287-vic,-38.05434,142.303111
3288-vic,-38.0768381,144.2340584
3289-vic,-37.859175,142.336378
3290-vic,-12.4643506,130.842693
3291-vic,-12.4643506,130.842693
3292-vic,-37.972661,141.096286
3293-vic,-37.711224,142.527201
3294-vic,-37.46306,142.333853
3295-vic,-12.4643506,130.842693
3296-vic,-12.4643506,130.842693
3297-vic,-12.4643506,130.842693
3298-vic,-38.10127973333333,145.12620206666668
3299-vic,-12.4643506,130.842693
3300-vic,-37.745842,142.017613
3301-vic,-37.816723,142.061417
3302-vic,-37.806313,141.72985
3303-vic,-37.971558,141.676245
3304-vic,-38.114657,141.544709
3305-vic,-38.289211,141.530128
3306-vic,-12.4643506,130.842693
3307-vic,-12.4643506,130.842693
3308-vic,-12.4643506,130.842693
3309-vic,-37.825159,141.366848
3310-vic,-37.699431,141.540787
3311-vic,-37.603148,141.331721
3312-vic,-37.468389,141.170608
3313-vic,-12.4643506,130.842693
3314-vic,-37.391713,142.026644
3315-vic,-37.439585,141.653885
3316-vic,-12.4643506,130.842693
3317-vic,-37.202035,141.435945
3318-vic,-37.066953,141.305069
3319-vic,-36.966731,141.084115
3320-vic,-12.4643506,130.842693
3321-vic,-38.085347,143.946762
3322-vic,-38.039209,143.659917
3323-vic,-38.009319,143.510769
3324-vic,-37.99812,143.448929
3325-vic,-37.906955,143.172013
3326-vic,-12.4643506,130.842693
3327-vic,-12.4643506,130.842693
3328-vic,-38.025765,144.047895
3329-vic,-37.974592,143.961589
3330-vic,-37.942994,143.754871
3331-vic,-37.935529,144.190994
3332-vic,-37.955982,144.096548
3333-vic,-37.861796,144.043371
3334-vic,-37.755827,144.040684
3335-vic,-37.887188,145.0842821
3336-vic,-37.71963957982456,144.72931286403508
3337-vic,-37.628274,144.585777
3338-vic,-37.740138,144.547635
3340-vic,-37.740606,144.397274
3341-vic,-37.518673,144.330226
3342-vic,-37.671833,144.238147
3343-vic,-12.4643506,130.842693
3344-vic,-12.4643506,130.842693
3345-vic,-37.528531,144.123902
3346-vic,-12.4643506,130.842693
3347-vic,-12.4643506,130.842693
3348-vic,-12.4643506,130.842693
3349-vic,-12.4643506,130.842693
3350-vic,-37.550664,143.882101
3351-vic,-37.673669,143.167669
3352-vic,-37.529961,143.756359
3353-vic,-37.5515184,143.8203839
3354-vic,-12.4643506,130.842693
3355-vic,-37.515733,143.796111
3356-vic,-37.589329,143.820249
3357-vic,-37.6522,143.900268
3358-vic,-37.56950365,143.80017985
3359-vic,-12.4643506,130.842693
3360-vic,-37.816131,143.5416
3361-vic,-37.685767,143.30259
3362-vic,-12.4643506,130.842693
3363-vic,-37.445308,143.924564
3364-vic,-37.340522,143.908433
3365-vic,-12.4643506,130.842693
3366-vic,-12.4643506,130.842693
3367-vic,-12.4643506,130.842693
3368-vic,-12.4643506,130.842693
3369-vic,-12.4643506,130.842693
3370-vic,-37.28766,143.772171
3371-vic,-37.149039,143.726804
3372-vic,-12.4643506,130.842693
3373-vic,-37.352129,143.344294
3374-vic,-37.146085,142.844988
3375-vic,-37.296646,143.124669
3376-vic,-12.4643506,130.842693
3377-vic,-37.282269,142.84913
3378-vic,-38.0456554,145.2466424
3379-vic,-37.492684,142.618404
3380-vic,-37.073348,142.740301
3381-vic,-37.117895,142.52375
3382-vic,-12.4643506,130.842693
3383-vic,-37.75387125,145.6878595647712
3384-vic,-36.92045,143.040979
3385-vic,-36.885139,142.717416
3386-vic,-12.4643506,130.842693
3387-vic,-36.60663,142.885128
3388-vic,-36.632458,142.671815
3389-vic,-12.4643506,130.842693
3390-vic,-36.64697,142.49311
3391-vic,-36.082119,142.365581
3392-vic,-36.417688,142.584016
3393-vic,-36.260188,142.438372
3394-vic,-12.4643506,130.842693
3395-vic,-35.769723,142.321405
3396-vic,-35.72764,142.363301
3397-vic,-12.4643506,130.842693
3398-vic,-12.4643506,130.842693
3399-vic,-12.4643506,130.842693
3400-vic,-36.718924,142.196228
3401-vic,-36.78904,141.933825
3402-vic,-12.4643506,130.842693
3403-vic,-12.4643506,130.842693
3404-vic,-12.4643506,130.842693
3405-vic,-12.4643506,130.842693
3406-vic,-12.4643506,130.842693
3407-vic,-37.216011,141.775965
3408-vic,-12.4643506,130.842693
3409-vic,-36.873939,141.779539
3410-vic,-37.9567839,145.045814
3411-vic,-12.4643506,130.842693
3412-vic,-36.720012,141.472764
3413-vic,-36.743828,141.117121
3414-vic,-36.38765,142.061155
3415-vic,-36.376035,141.374999
3416-vic,-12.4643506,130.842693
3417-vic,-12.4643506,130.842693
3418-vic,-36.272198,141.631698
3419-vic,-36.390746,141.283117
3420-vic,-36.114463,141.112465
3421-vic,-12.4643506,130.842693
3422-vic,-12.4643506,130.842693
3423-vic,-36.136823,141.992043
3424-vic,-35.889703,141.98152
3425-vic,-12.4643506,130.842693
3426-vic,-12.4643506,130.842693
3427-vic,-37.620824,144.697636
3428-vic,-37.635244,144.791031
3429-vic,-37.547139,144.744164
3430-vic,-37.469301,144.793773
3431-vic,-37.438257,144.677704
3432-vic,-37.438652,144.774819
3433-vic,-37.396894,144.805378
3434-vic,-37.352345,144.728299
3435-vic,-37.274036,144.748012
3436-vic,-12.4643506,130.842693
3437-vic,-37.501598,144.546684
3438-vic,-37.452386,144.615251
3439-vic,-12.4643506,130.842693
3440-vic,-37.428476,144.555869
3441-vic,-37.392971,144.593182
3442-vic,-37.338964,144.542393
3443-vic,-12.4643506,130.842693
3444-vic,-37.130812,144.488237
3445-vic,-12.4643506,130.842693
3446-vic,-37.188804,144.377233
3447-vic,-37.140503,144.349298
3448-vic,-37.034145,144.359302
3449-vic,-12.4643506,130.842693
3450-vic,-37.057949,144.218689
3451-vic,-37.100099,144.214803
3452-vic,-12.4643506,130.842693
3453-vic,-36.933904,144.238935
3454-vic,-12.4643506,130.842693
3455-vic,-12.4643506,130.842693
3456-vic,-12.4643506,130.842693
3457-vic,-12.4643506,130.842693
3458-vic,-37.375934,144.33763
3459-vic,-12.4643506,130.842693
3460-vic,-37.352954,144.140578
3461-vic,-37.297008,144.178917
3462-vic,-37.152812,144.016379
3463-vic,-36.941376,144.035689
3464-vic,-37.045467,143.875374
3465-vic,-37.024339,143.690727
3466-vic,-12.4643506,130.842693
3467-vic,-37.099213,143.491477
3468-vic,-37.187948,143.414816
3469-vic,-37.113591,143.251556
3470-vic,-12.4643506,130.842693
3471-vic,-12.4643506,130.842693
3472-vic,-36.859371,143.74057
3473-vic,-12.4643506,130.842693
3474-vic,-12.4643506,130.842693
3475-vic,-36.836434,143.568332
3476-vic,-12.4643506,130.842693
3477-vic,-36.763951,143.359182
3478-vic,-36.68568,143.269235
3479-vic,-12.4643506,130.842693
3480-vic,-36.322384,142.917627
3481-vic,-12.4643506,130.842693
3482-vic,-36.030295,142.88424
3483-vic,-35.980605,142.915983
3484-vic,-12.4643506,130.842693
3485-vic,-35.682805,142.666799
3486-vic,-12.4643506,130.842693
3487-vic,-35.562517,142.614717
3488-vic,-35.441419,142.447426
3489-vic,-35.320392,142.466679
3490-vic,-35.161192,141.509975
3491-vic,-35.501266,142.410319
3492-vic,-12.4643506,130.842693
3493-vic,-12.4643506,130.842693
3494-vic,-34.5579,142.175082
3495-vic,-12.4643506,130.842693
3496-vic,-34.3132,141.554219
3497-vic,-12.4643506,130.842693
3498-vic,-34.252569,142.168627
3499-vic,-12.4643506,130.842693
3500-vic,-34.207509,142.125699
3501-vic,-34.600735,142.302293
3502-vic,-34.1876341,142.1603791
3503-vic,-37.7983068,144.9671467
3504-vic,-12.4643506,130.842693
